name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::dragons::AvxCopier>/32_mean",20,0.702966,0.7029,ns,4.55259e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32_median",20,0.703371,0.703304,ns,4.54995e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32_stddev",20,0.00142693,0.00141949,ns,9.19911e+07,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/64_mean",20,2.15022,2.15003,ns,2.98344e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/64_median",20,2.17173,2.17151,ns,2.94725e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/64_stddev",20,0.0965745,0.0965707,ns,1.58076e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/512_mean",20,4.65381,4.65338,ns,1.10035e+11,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/512_median",20,4.66565,4.66529,ns,1.09747e+11,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/512_stddev",20,0.0389229,0.0389467,ns,9.30162e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/4096_mean",20,34.8952,34.8919,ns,1.17392e+11,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/4096_median",20,34.944,34.9408,ns,1.17227e+11,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/4096_stddev",20,0.098348,0.097999,ns,3.30107e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32768_mean",20,822.536,822.46,ns,3.99078e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32768_median",20,812.422,812.334,ns,4.03381e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32768_stddev",20,36.3117,36.3081,ns,1.58181e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/262144_mean",20,6827.98,6827.22,ns,3.84141e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/262144_median",20,6749.92,6749.13,ns,3.88412e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/262144_stddev",20,149.331,149.295,ns,8.27599e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/2097152_mean",20,59305.4,59298.4,ns,3.54101e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/2097152_median",20,57809.8,57802.6,ns,3.62813e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/2097152_stddev",20,2168.55,2168.5,ns,1.26673e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/16777216_mean",20,2.05721e+06,2.05607e+06,ns,8.16033e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/16777216_median",20,2.06117e+06,2.06008e+06,ns,8.14396e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/16777216_stddev",20,16282.3,16254.9,ns,6.48089e+07,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/67108864_mean",20,8.60695e+06,8.60191e+06,ns,7.80197e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/67108864_median",20,8.61787e+06,8.61349e+06,ns,7.79113e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/67108864_stddev",20,59039.3,58930,ns,5.37228e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32_mean",20,115.035,115.024,ns,2.78474e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32_median",20,114.645,114.636,ns,2.79146e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32_stddev",20,3.66719,3.66646,ns,8.97962e+06,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/64_mean",20,114.082,114.039,ns,5.62376e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/64_median",20,115.344,115.306,ns,5.55043e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/64_stddev",20,5.26876,5.26673,ns,2.65699e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/512_mean",20,137.1,137.087,ns,3.73686e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/512_median",20,135.789,135.77,ns,3.77108e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/512_stddev",20,3.27907,3.27904,ns,8.76037e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_mean",20,333.494,333.465,ns,1.23059e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_median",20,326.873,326.842,ns,1.2532e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_stddev",20,15.2274,15.2257,ns,5.23986e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32768_mean",20,2143.6,2143.41,ns,1.53312e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32768_median",20,2175.21,2175,ns,1.50658e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32768_stddev",20,109.299,109.284,ns,8.96345e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/262144_mean",20,14773.9,14772.6,ns,1.78038e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/262144_median",20,14407.3,14405.9,ns,1.8197e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/262144_stddev",20,906.963,906.858,ns,1.00405e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/2097152_mean",20,165874,165856,ns,1.26447e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/2097152_median",20,165910,165892,ns,1.26417e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/2097152_stddev",20,858.828,857.825,ns,6.53609e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/16777216_mean",20,1.28399e+06,1.28383e+06,ns,1.30709e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/16777216_median",20,1.27553e+06,1.27534e+06,ns,1.31551e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/16777216_stddev",20,19468.1,19460.3,ns,1.94736e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/67108864_mean",20,5.20758e+06,5.20691e+06,ns,1.28887e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/67108864_median",20,5.22249e+06,5.22179e+06,ns,1.28517e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/67108864_stddev",20,23559.7,23456,ns,5.81303e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32_mean",20,110.825,110.814,ns,2.89223e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32_median",20,111.66,111.651,ns,2.8665e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32_stddev",20,4.46392,4.46346,ns,1.17778e+07,,,,
